Start_Date,End_Date,Chinese_Star_Sign,Yin_Yang,Element,Trine
1924-02-05,1925-01-23,Rat,Yang,Wood,First
1925-01-24,1926-02-12,Ox,Yin,Wood,Second
1926-02-13,1927-02-01,Tiger,Yang,Fire,Third
1927-02-02,1928-01-22,Rabbit,Yin,Fire,Fourth
1928-01-23,1929-02-09,Dragon,Yang,Earth,First
1929-02-10,1930-01-29,Snake,Yin,Earth,Second
1930-01-30,1931-02-16,Horse,Yang,Metal,Third
1931-02-17,1932-02-05,Goat,Yin,Metal,Fourth
1932-02-06,1933-01-25,Monkey,Yang,Water,First
1933-01-26,1934-02-13,Rooster,Yin,Water,Second
1934-02-14,1935-02-03,Dog,Yang,Wood,Third
1935-02-04,1936-01-23,Pig,Yin,Wood,Fourth
1936-01-24,1937-02-10,Rat,Yang,Fire,First
1937-02-11,1938-01-30,Ox,Yin,Fire,Second
1938-01-31,1939-02-18,Tiger,Yang,Earth,Third
1939-02-19,1940-02-07,Rabbit,Yin,Earth,Fourth
1940-02-08,1941-01-26,Dragon,Yang,Metal,First
1941-01-27,1942-02-14,Snake,Yin,Metal,Second
1942-02-15,1943-02-04,Horse,Yang,Water,Third
1943-02-05,1944-01-24,Goat,Yin,Water,Fourth
1944-01-25,1945-02-12,Monkey,Yang,Wood,First
1945-02-13,1946-02-01,Rooster,Yin,Wood,Second
1946-02-02,1947-01-21,Dog,Yang,Fire,Third
1947-01-22,1948-02-09,Pig,Yin,Fire,Fourth
1948-02-10,1949-01-28,Rat,Yang,Earth,First
1949-01-29,1950-02-16,Ox,Yin,Earth,Second
1950-02-17,1951-02-05,Tiger,Yang,Metal,Third
1951-02-06,1952-01-26,Rabbit,Yin,Metal,Fourth
1952-01-27,1953-02-13,Dragon,Yang,Water,First
1953-02-14,1954-02-02,Snake,Yin,Water,Second
1954-02-03,1955-01-23,Horse,Yang,Wood,Third
1955-01-24,1956-02-11,Goat,Yin,Wood,Fourth
1956-02-12,1957-01-30,Monkey,Yang,Fire,First
1957-01-31,1958-02-17,Rooster,Yin,Fire,Second
1958-02-18,1959-02-07,Dog,Yang,Earth,Third
1959-02-08,1960-01-27,Pig,Yin,Earth,Fourth
1960-01-28,1961-02-14,Rat,Yang,Metal,First
1961-02-15,1962-02-04,Ox,Yin,Metal,Second
1962-02-05,1963-01-24,Tiger,Yang,Water,Third
1963-01-25,1964-02-12,Rabbit,Yin,Water,Fourth
1964-02-13,1965-02-01,Dragon,Yang,Wood,First
1965-02-02,1966-01-20,Snake,Yin,Wood,Second
1966-01-21,1967-02-08,Horse,Yang,Fire,Third
1967-02-09,1968-01-29,Goat,Yin,Fire,Fourth
1968-01-30,1969-02-16,Monkey,Yang,Earth,First
1969-02-17,1970-02-05,Rooster,Yin,Earth,Second
1970-02-06,1971-01-26,Dog,Yang,Metal,Third
1971-01-27,1972-02-14,Pig,Yin,Metal,Fourth
1972-02-15,1973-02-02,Rat,Yang,Water,First
1973-02-03,1974-01-22,Ox,Yin,Water,Second
1974-01-23,1975-02-10,Tiger,Yang,Wood,Third
1975-02-11,1976-01-30,Rabbit,Yin,Wood,Fourth
1976-01-31,1977-02-17,Dragon,Yang,Fire,First
1977-02-18,1978-02-06,Snake,Yin,Fire,Second
1978-02-07,1979-01-27,Horse,Yang,Earth,Third
1979-01-28,1980-02-15,Goat,Yin,Earth,Fourth
1980-02-16,1981-02-04,Monkey,Yang,Metal,First
1981-02-05,1982-01-24,Rooster,Yin,Metal,Second
1982-01-25,1983-02-12,Dog,Yang,Water,Third
1983-02-13,1984-02-01,Pig,Yin,Water,Fourth
1984-02-02,1985-02-19,Rat,Yang,Wood,First
1985-02-20,1986-02-08,Ox,Yin,Wood,Second
1986-02-09,1987-01-28,Tiger,Yang,Fire,Third
1987-01-29,1988-02-16,Rabbit,Yin,Fire,Fourth
1988-02-17,1989-02-05,Dragon,Yang,Earth,First
1989-02-06,1990-01-26,Snake,Yin,Earth,Second
1990-01-27,1991-02-14,Horse,Yang,Metal,Third
1991-02-15,1992-02-03,Goat,Yin,Metal,Fourth
1992-02-04,1993-01-22,Monkey,Yang,Water,First
1993-01-23,1994-02-09,Rooster,Yin,Water,Second
1994-02-10,1995-01-30,Dog,Yang,Wood,Third
1995-01-31,1996-02-18,Pig,Yin,Wood,Fourth
1996-02-19,1997-02-06,Rat,Yang,Fire,First
1997-02-07,1998-01-27,Ox,Yin,Fire,Second
1998-01-28,1999-02-15,Tiger,Yang,Earth,Third
1999-02-16,2000-02-04,Rabbit,Yin,Earth,Fourth
2000-02-05,2001-01-23,Dragon,Yang,Metal,First
2001-01-24,2002-02-11,Snake,Yin,Metal,Second
2002-02-12,2003-01-31,Horse,Yang,Water,Third
2003-02-01,2004-01-21,Goat,Yin,Water,Fourth
2004-01-22,2005-02-08,Monkey,Yang,Wood,First
2005-02-09,2006-01-28,Rooster,Yin,Wood,Second
2006-01-29,2007-02-17,Dog,Yang,Fire,Third
2007-02-18,2008-02-06,Pig,Yin,Fire,Fourth
2008-02-07,2009-01-25,Rat,Yang,Earth,First
2009-01-26,2010-02-13,Ox,Yin,Earth,Second
2010-02-14,2011-02-02,Tiger,Yang,Metal,Third
2011-02-03,2012-01-22,Rabbit,Yin,Metal,Fourth
2012-01-23,2013-02-09,Dragon,Yang,Water,First
2013-02-10,2014-01-30,Snake,Yin,Water,Second
2014-01-31,2015-02-18,Horse,Yang,Wood,Third
2015-02-19,2016-02-07,Goat,Yin,Wood,Fourth
2016-02-08,2017-01-27,Monkey,Yang,Fire,First
2017-01-28,2018-02-15,Rooster,Yin,Fire,Second
2018-02-16,2019-02-04,Dog,Yang,Earth,Third
2019-02-05,2020-01-24,Pig,Yin,Earth,Fourth
2020-01-25,2021-02-11,Rat,Yang,Metal,First
2021-02-12,2022-01-31,Ox,Yin,Metal,Second
2022-02-01,2023-01-21,Tiger,Yang,Water,Third
2023-01-22,2024-02-09,Rabbit,Yin,Water,Fourth
2024-02-10,2025-01-28,Dragon,Yang,Wood,First
2025-01-29,2026-02-16,Snake,Yin,Wood,Second
2026-02-17,2027-02-05,Horse,Yang,Fire,Third
2027-02-06,2028-01-25,Goat,Yin,Fire,Fourth
2028-01-26,2029-02-12,Monkey,Yang,Earth,First
2029-02-13,2030-02-02,Rooster,Yin,Earth,Second
2030-02-03,2031-01-22,Dog,Yang,Metal,Third
2031-01-23,2032-02-10,Pig,Yin,Metal,Fourth
2032-02-11,2033-01-30,Rat,Yang,Water,First
2033-01-31,2034-02-18,Ox,Yin,Water,Second
2034-02-19,2035-02-07,Tiger,Yang,Wood,Third
2035-02-08,2036-01-27,Rabbit,Yin,Wood,Fourth
2036-01-28,2037-02-14,Dragon,Yang,Fire,First
2037-02-15,2038-02-03,Snake,Yin,Fire,Second
2038-02-04,2039-01-23,Horse,Yang,Earth,Third
2039-01-24,2040-02-11,Goat,Yin,Earth,Fourth
2040-02-12,2041-01-31,Monkey,Yang,Metal,First
2041-02-01,2042-01-21,Rooster,Yin,Metal,Second
2042-01-22,2043-02-09,Dog,Yang,Water,Third
2043-02-10,2044-01-29,Pig,Yin,Water,Fourth
